x,y,condition
5.994709,-33.987885,Benign Fluctuation
-29.842981,-18.655552,Benign Fluctuation
-44.160477,-4.074829,Benign Fluctuation
3.2788992,-33.041306,Benign Fluctuation
26.818188,6.6177177,Benign Fluctuation
11.667867,7.6378517,Benign Fluctuation
4.989036,-17.864473,Benign Fluctuation
43.4173,3.1010904,Benign Fluctuation
25.656275,0.69803303,Benign Fluctuation
43.885452,-4.182314,Benign Fluctuation
43.920727,-8.484802,Benign Fluctuation
-37.824913,-15.555791,Benign Fluctuation
42.79747,-12.296876,Benign Fluctuation
-44.789814,-4.889898,Benign Fluctuation
32.013306,6.4829397,Benign Fluctuation
46.419167,1.6549898,Benign Fluctuation
-36.990593,-14.168541,Benign Fluctuation
9.738228,-33.454662,Benign Fluctuation
44.298332,2.2112057,Benign Fluctuation
-36.23881,4.2170663,Benign Fluctuation
37.253883,-4.9003725,Benign Fluctuation
11.569244,-17.746174,Benign Fluctuation
-26.756212,-20.64711,Benign Fluctuation
14.0544405,7.3096685,Benign Fluctuation
35.6461,-7.653705,Benign Fluctuation
-38.91435,5.133946,Benign Fluctuation
-37.25863,4.1130915,Benign Fluctuation
8.513126,0.34194753,Benign Fluctuation
13.167526,11.706958,Benign Fluctuation
-10.003219,-22.232767,Benign Fluctuation
-42.768833,-5.7430925,Benign Fluctuation
-33.57772,4.0771174,Benign Fluctuation
26.161383,3.2140088,Benign Fluctuation
-16.571398,-25.00202,Benign Fluctuation
22.43991,2.9631567,Benign Fluctuation
-5.425453,-24.959616,Benign Fluctuation
-26.181763,-6.27659,Benign Fluctuation
41.722507,-13.50653,Benign Fluctuation
38.753372,-7.824481,Benign Fluctuation
27.933077,-5.074981,Benign Fluctuation
13.305439,-19.495535,Benign Fluctuation
42.61748,-7.368332,Benign Fluctuation
17.553514,-25.564402,Benign Fluctuation
19.946697,17.254238,Benign Fluctuation
-13.165696,-23.330318,Benign Fluctuation
38.223316,-0.03952087,Benign Fluctuation
-27.808012,-2.1529787,Benign Fluctuation
-16.685282,-9.298301,Benign Fluctuation
-42.01113,0.16818841,Benign Fluctuation
-36.09216,-8.056656,Benign Fluctuation
-4.4639745,-8.352996,Benign Fluctuation
-5.1622143,25.586243,Benign Fluctuation
21.126406,-16.138254,Benign Fluctuation
1.417381,-26.310078,Benign Fluctuation
4.5241575,-27.702234,Benign Fluctuation
-28.509512,-3.8884797,Benign Fluctuation
36.870583,9.588613,Benign Fluctuation
-16.161362,20.568993,Benign Fluctuation
-27.600754,34.00807,Benign Fluctuation
-15.339438,-10.070875,Benign Fluctuation
-39.801773,6.284501,Benign Fluctuation
45.53113,-0.03685709,Benign Fluctuation
-24.077843,27.573442,TDAP Attack
-4.8223424,15.863473,TDAP Attack
-24.18029,16.204432,TDAP Attack
-12.123504,-5.042565,TDAP Attack
-13.840256,7.71292,TDAP Attack
18.052197,25.713799,TDAP Attack
-28.52692,16.605448,TDAP Attack
15.997047,5.147935,TDAP Attack
-10.169571,6.368419,TDAP Attack
-24.180086,24.46732,TDAP Attack
-22.527367,26.108149,TDAP Attack
-29.447212,28.80616,TDAP Attack
-5.271294,16.223867,TDAP Attack
-32.101284,10.392334,TDAP Attack
-18.853476,27.375284,TDAP Attack
-20.115664,12.235125,TDAP Attack
4.209514,18.122305,TDAP Attack
4.2994924,25.487173,TDAP Attack
9.778405,19.066542,TDAP Attack
6.3191586,10.95862,TDAP Attack
1.7733234,22.709202,TDAP Attack
-1.248721,22.82407,TDAP Attack
16.688215,24.388575,TDAP Attack
-3.5789034,20.035755,TDAP Attack
-11.693251,-4.5957103,TDAP Attack
-8.585822,6.6582255,TDAP Attack
14.078181,23.007086,TDAP Attack
-27.565542,24.031536,TDAP Attack
-29.75735,31.236645,TDAP Attack
-30.46021,8.524824,TDAP Attack
-14.914476,5.3139668,TDAP Attack
