x,y,label
-12.949335,23.782207,TDAP Attack
-40.378647,-1.3092523,TDAP Attack
37.915615,10.632412,TDAP Attack
39.694687,7.4722743,TDAP Attack
30.720566,-18.29176,TDAP Attack
-9.30007,5.8751335,TDAP Attack
-10.64477,-31.711227,TDAP Attack
29.210424,-0.8634583,TDAP Attack
15.818603,-21.24382,TDAP Attack
0.39010313,20.966274,TDAP Attack
17.085411,19.626831,TDAP Attack
-0.21590532,6.474385,TDAP Attack
17.964394,-14.4951105,TDAP Attack
9.4621,-21.891922,TDAP Attack
-35.777325,16.809406,TDAP Attack
11.057659,28.043861,TDAP Attack
5.205123,-1.6364105,TDAP Attack
-30.225796,-24.637508,TDAP Attack
-34.078793,11.969697,TDAP Attack
30.48785,-4.988489,TDAP Attack
10.838681,27.094995,TDAP Attack
36.241665,-1.8459376,TDAP Attack
-41.856346,-10.277808,TDAP Attack
-35.76646,11.734238,TDAP Attack
-4.6606045,16.137753,TDAP Attack
18.408142,-23.274105,TDAP Attack
-12.54374,-10.198981,TDAP Attack
-4.229439,14.610435,TDAP Attack
-34.98774,11.464267,TDAP Attack
-41.119583,10.197177,TDAP Attack
-18.006775,7.146014,TDAP Attack
8.422825,-22.005274,TDAP Attack
2.118041,21.827463,TDAP Attack
-26.761196,-23.801762,TDAP Attack
-12.570303,-28.018654,TDAP Attack
4.3341994,11.480309,TDAP Attack
41.642174,12.173482,TDAP Attack
34.678493,-4.4560266,TDAP Attack
41.660065,11.124806,TDAP Attack
-14.530721,22.460007,TDAP Attack
-39.387524,-5.9554963,TDAP Attack
-42.011627,-2.5847433,TDAP Attack
32.844635,9.316296,TDAP Attack
17.363909,27.187706,TDAP Attack
32.78662,6.021415,TDAP Attack
-18.06095,-29.64079,TDAP Attack
5.7439303,-16.32486,TDAP Attack
32.032158,-0.3871077,TDAP Attack
6.33852,-4.756926,TDAP Attack
9.174894,33.803177,TDAP Attack
35.45791,5.0094647,TDAP Attack
15.73409,20.704567,TDAP Attack
-24.869408,19.055693,TDAP Attack
-21.45332,-12.979294,TDAP Attack
-41.720795,0.9017859,TDAP Attack
-5.5737667,3.0097318,TDAP Attack
-21.622456,-22.39556,TDAP Attack
38.210144,6.094427,TDAP Attack
-19.36853,8.671705,TDAP Attack
38.85904,-0.6076241,TDAP Attack
-11.6491,23.071186,TDAP Attack
-21.04467,22.486626,TDAP Attack
14.928523,-15.238253,TDAP Attack
5.150399,4.7977633,TDAP Attack
17.353415,-2.1100671,TDAP Attack
37.031982,12.933679,TDAP Attack
-38.306877,-0.32828596,TDAP Attack
30.196701,13.480124,TDAP Attack
9.693568,8.172023,TDAP Attack
-23.52948,24.35994,TDAP Attack
6.357444,-2.1326742,TDAP Attack
32.888508,-9.309842,TDAP Attack
-39.817684,1.9050072,TDAP Attack
-1.8901688,21.3934,TDAP Attack
14.964585,-5.201564,TDAP Attack
7.0172935,33.192963,TDAP Attack
9.670546,10.312098,TDAP Attack
30.121716,-3.1234787,TDAP Attack
3.7633226,18.307184,TDAP Attack
-8.316285,23.469782,TDAP Attack
3.9333434,2.50782,TDAP Attack
17.032864,23.731966,TDAP Attack
-25.070782,-14.396655,TDAP Attack
3.2064464,4.9287186,TDAP Attack
23.534197,-18.081347,TDAP Attack
14.863585,28.960165,TDAP Attack
8.211673,31.144907,TDAP Attack
-30.561562,5.1029396,TDAP Attack
-1.8622315,8.376048,TDAP Attack
-5.1930847,0.36312112,TDAP Attack
-13.925241,-8.593384,TDAP Attack
3.9133365,14.259176,TDAP Attack
-29.295826,-24.248055,TDAP Attack
-44.720856,3.482901,TDAP Attack
-0.5666148,7.1886625,TDAP Attack
28.57166,-23.615992,TDAP Attack
12.638011,-10.56985,TDAP Attack
-6.6716447,14.764072,TDAP Attack
47.2309,11.899658,TDAP Attack
24.758785,-15.987344,TDAP Attack
40.40268,-5.485471,TDAP Attack
38.853775,-2.8776612,TDAP Attack
-38.62048,-4.6916056,TDAP Attack
33.617897,16.818289,TDAP Attack
-45.373795,2.7950242,TDAP Attack
37.94297,-11.917796,TDAP Attack
49.61128,11.436217,TDAP Attack
-43.343605,-4.850157,TDAP Attack
9.109689,7.760008,TDAP Attack
46.678528,13.182549,TDAP Attack
-35.842766,8.921335,TDAP Attack
32.78883,6.8591785,TDAP Attack
3.4831905,15.199506,TDAP Attack
-28.852362,-18.723166,TDAP Attack
13.820715,-14.524271,TDAP Attack
30.914291,-4.0567293,TDAP Attack
-41.473984,3.5334337,TDAP Attack
-36.16571,8.816666,TDAP Attack
8.43879,-20.732487,TDAP Attack
